id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lela;King;Reyes96@yahoo.com;finally hence override;2025-06-02T15:58:02;23309;27196
2;Jaylin;Jacobs;Cameron78@gmail.com;ha how;2025-06-03T01:59:02;23583;1850
3;Hazel;Nikolaus;Ernest.Hessel@yahoo.com;after keenly;2025-06-02T20:15:42;24071;11173
4;Braxton;Mills;Joan.Mosciski90@gmail.com;wholly modulo;2025-06-02T23:59:03;6009;25083
5;Amara;VonRueden;Greta_Hartmann66@yahoo.com;fooey tinderbox aside;2025-06-02T16:38:01;910;5587
6;Rhea;Green;Kamille.Runolfsson@gmail.com;phew dreamily;2025-06-02T23:44:23;24175;17671
7;Chet;Boyer;Krystal31@yahoo.com;towards boo austere;2025-06-03T05:34:24;10326;21300
8;Payton;Davis;Korbin.Fahey0@yahoo.com;though fedora whether;2025-06-03T01:35:35;18522;12624
9;Martine;Muller;Casandra.Oberbrunner64@yahoo.com;out mispronounce;2025-06-02T19:29:50;10006;14682
10;Bailee;Schmitt;Troy.Gerhold@gmail.com;um come;2025-06-03T01:29:40;10390;1922
